,haley,michelle,jongmin,jaemin,matthew,jeff,Same
0,2,2,2,2,2,2,True
1,0,0,0,0,0,0,True
2,0,0,0,0,0,0,True
3,0,0,0,0,0,0,True
4,0,0,0,0,0,0,True
5,0,0,0,0,0,0,True
6,0,0,0,0,0,0,True
7,0,0,0,0,0,0,True
8,0,0,0,0,0,0,True
9,0,0,0,0,0,0,True
10,0,0,0,0,0,0,True
11,2,2,2,2,2,2,True
12,0,0,0,0,0,0,True
13,0,0,0,0,0,0,True
14,1,1,1,1,1,1,True
15,0,0,0,0,0,0,True
16,0,0,0,99,0,0,False
17,2,2,2,2,2,2,True
18,0,0,0,0,0,0,True
19,2,2,2,2,2,2,True
20,0,0,0,0,0,0,True
21,0,0,0,0,0,0,True
22,0,0,0,0,0,0,True
23,0,0,0,0,0,0,True
24,2,2,2,2,2,2,True
25,0,0,0,0,0,0,True
26,0,0,0,0,0,0,True
27,2,2,2,2,2,2,True
28,0,0,0,0,0,0,True
29,0,0,0,0,0,0,True
30,0,0,0,0,0,0,True
31,0,0,0,0,0,0,True
32,0,0,0,0,0,0,True
33,0,0,0,0,0,0,True
34,0,0,0,0,0,0,True
35,0,0,0,0,0,0,True
36,0,0,0,0,0,0,True
37,0,0,0,0,0,0,True
38,0,0,0,0,0,0,True
39,0,3,2,3,0,3,False
40,0,0,0,0,0,0,True
41,0,0,0,0,0,0,True
42,0,0,0,0,0,0,True
43,0,0,0,0,0,0,True
44,0,0,0,0,0,0,True
45,2,2,2,4,2,2,False
46,0,0,0,0,0,0,True
47,0,0,0,0,0,0,True
48,0,0,0,0,0,0,True
49,0,0,0,0,0,0,True
50,0,0,0,0,0,0,True
51,0,0,0,0,0,0,True
52,0,0,0,0,0,0,True
53,0,0,0,0,0,0,True
54,0,0,0,0,0,0,True
55,0,0,0,0,0,0,True
56,0,0,0,0,0,0,True
57,0,0,0,0,0,0,True
58,4,0,4,4,4,4,False
59,0,0,0,0,0,0,True
60,2,2,2,2,2,2,True
61,0,0,0,0,0,0,True
62,5,2,2,5,2,2,False
63,0,0,0,0,0,0,True
64,0,0,0,99,0,0,False
65,0,0,0,0,0,0,True
66,0,0,0,0,0,0,True
67,0,0,0,0,0,0,True
68,0,0,0,0,0,0,True
69,0,0,0,0,0,0,True
70,0,0,0,0,0,0,True
71,0,0,0,0,0,0,True
72,0,0,0,0,0,0,True
73,0,0,0,0,1,0,False
74,0,0,0,0,0,0,True
75,2,2,2,2,2,2,True
76,0,0,0,0,0,0,True
77,0,0,0,0,0,0,True
78,0,0,0,0,0,0,True
79,0,0,0,0,0,0,True
80,0,0,0,0,0,0,True
81,0,0,0,3,0,0,False
82,0,0,0,0,0,0,True
83,0,0,0,0,0,0,True
84,0,0,0,0,0,0,True
85,0,0,0,0,0,0,True
86,2,2,2,2,2,2,True
87,0,0,0,0,0,0,True
88,0,0,0,0,0,0,True
89,0,0,0,0,0,0,True
90,0,0,0,0,3,3,False
91,3,3,3,3,3,3,True
92,0,0,0,0,0,0,True
93,0,0,0,0,0,0,True
94,2,2,2,2,2,2,True
95,0,0,0,0,0,0,True
96,0,0,0,0,0,0,True
97,0,0,0,0,0,0,True
98,0,0,0,0,0,0,True
99,0,0,0,0,0,0,True
100,0,0,0,0,0,0,True
101,0,0,0,0,0,99,False
102,0,0,0,0,0,0,True
103,0,0,0,0,0,0,True
104,0,0,0,0,0,0,True
105,0,0,0,0,0,0,True
106,0,0,0,0,0,0,True
107,0,0,0,0,0,0,True
108,0,0,0,0,0,0,True
109,2,2,2,2,2,2,True
110,0,0,0,0,0,0,True
111,2,2,2,2,2,2,True
112,0,0,0,0,0,0,True
113,0,0,0,0,0,0,True
114,0,0,0,0,0,0,True
115,0,0,0,0,0,0,True
116,0,0,0,0,0,0,True
117,0,0,0,0,0,0,True
118,0,0,0,0,0,0,True
119,0,0,0,0,0,0,True
120,2,2,2,2,2,2,True
121,0,0,0,0,0,0,True
122,0,0,0,0,0,0,True
123,0,0,0,0,0,0,True
124,0,0,0,0,0,0,True
125,0,0,0,0,0,0,True
126,0,0,0,0,0,0,True
127,0,0,0,0,0,0,True
128,0,0,0,0,0,0,True
129,0,0,0,0,0,0,True
130,0,0,0,0,0,0,True
131,3,3,3,3,3,3,True
132,2,2,2,2,2,2,True
133,0,0,0,0,0,0,True
134,0,0,0,0,0,0,True
135,0,0,0,0,0,0,True
136,0,0,0,0,0,0,True
137,0,0,0,0,0,0,True
138,0,0,0,0,0,0,True
139,0,0,0,0,0,0,True
140,0,0,0,0,0,0,True
141,0,0,0,0,0,0,True
142,0,0,0,0,0,0,True
143,0,0,0,0,0,0,True
144,3,0,3,3,3,0,False
145,0,0,0,0,0,0,True
146,0,0,0,0,0,0,True
147,0,0,0,0,0,0,True
148,2,2,2,2,2,2,True
149,2,2,2,2,2,2,True
150,0,0,0,0,0,0,True
151,0,0,0,0,0,0,True
152,2,2,2,2,2,2,True
153,0,0,0,0,0,0,True
154,0,0,0,0,0,0,True
155,0,0,0,0,0,0,True
156,0,0,0,0,0,0,True
157,0,0,0,0,0,0,True
158,0,0,0,0,0,0,True
159,0,0,0,0,0,0,True
160,0,0,0,0,0,0,True
161,0,0,0,0,0,0,True
162,0,0,0,0,0,0,True
163,0,0,0,0,0,0,True
164,0,0,0,0,0,0,True
165,0,0,0,0,0,0,True
166,0,0,0,0,0,0,True
167,0,0,0,0,0,0,True
168,0,0,0,0,0,0,True
169,0,0,0,0,0,0,True
170,2,2,2,2,2,2,True
171,3,3,3,3,3,2,False
172,2,2,2,2,2,2,True
173,5,2,5,5,2,5,False
174,0,0,0,0,3,0,False
175,2,2,2,2,2,2,True
176,0,0,0,0,0,0,True
177,0,0,0,0,0,0,True
178,0,0,0,0,0,0,True
179,0,0,0,0,0,0,True
180,0,0,0,0,0,0,True
181,0,0,0,0,0,0,True
182,0,0,0,0,0,0,True
183,4,0,0,0,0,0,False
184,2,2,2,2,2,2,True
185,0,0,0,0,0,0,True
186,2,2,2,2,2,2,True
187,2,2,2,2,2,2,True
188,3,3,3,3,3,3,True
189,0,0,0,0,0,0,True
190,0,0,0,0,0,0,True
191,0,0,0,0,0,0,True
192,0,0,0,0,0,0,True
193,0,0,0,0,0,0,True
194,0,0,0,0,0,0,True
195,0,0,0,0,0,0,True
196,0,0,0,0,0,0,True
197,0,0,0,0,0,0,True
198,0,0,0,0,0,0,True
199,0,0,0,0,0,0,True
