,haley,michelle,jeff,jongmin,jaemin,matthew,Same
0,M,M,M,M,M,M,True
1,M,M,M,M,M,M,True
2,M,M,M,M,M,M,True
3,M,M,M,M,M,M,True
4,M,M,M,M,M,M,True
5,M,M,M,M,M,M,True
6,M,M,M,M,M,M,True
7,F,F,F,F,F,F,True
8,M,M,M,M,M,M,True
9,M,M,M,M,M,M,True
10,M,M,M,M,M,M,True
11,M,M,M,M,M,M,True
12,M,M,M,M,M,M,True
13,M,M,M,M,M,M,True
14,M,M,M,M,M,M,True
15,F,F,F,F,F,F,True
16,F,F,F,F,F,F,True
17,M,M,M,M,F,M,False
18,M,M,M,M,M,M,True
19,M,M,M,M,M,M,True
20,M,M,M,M,M,M,True
21,M,M,M,M,M,M,True
22,F,F,F,F,F,F,True
23,F,F,F,F,F,F,True
24,F,F,F,F,F,F,True
25,F,F,F,F,F,F,True
26,F,F,F,F,F,F,True
27,M,M,M,M,M,M,True
28,M,M,M,M,M,M,True
29,M,M,M,M,M,M,True
30,F,F,F,F,F,F,True
31,M,M,M,M,M,M,True
32,M,M,M,M,M,M,True
33,M,M,M,M,M,M,True
34,M,M,M,M,M,M,True
35,M,M,M,M,M,M,True
36,M,M,M,M,M,M,True
37,M,M,M,M,M,M,True
38,F,F,F,F,F,F,True
39,M,M,M,M,M,M,True
40,F,F,F,F,F,F,True
41,F,F,F,F,F,F,True
42,F,F,F,F,F,F,True
43,M,M,M,M,M,M,True
44,F,F,F,F,F,F,True
45,F,M,M,M,M,M,False
46,M,M,M,M,M,M,True
47,M,M,M,M,M,M,True
48,M,F,F,F,M,F,False
49,N,N,F,F,F,N,False
50,F,F,F,F,F,F,True
51,M,M,M,M,M,M,True
52,M,M,M,M,M,M,True
53,M,M,M,M,M,M,True
54,M,M,M,M,M,M,True
55,F,F,F,F,F,F,True
56,F,F,F,F,F,F,True
57,M,M,M,M,M,M,True
58,M,M,M,M,M,M,True
59,F,F,M,M,F,F,False
60,M,M,M,M,M,M,True
61,F,F,F,F,F,F,True
62,F,F,F,F,F,F,True
63,F,F,F,F,F,F,True
64,F,F,F,F,F,F,True
65,M,M,M,M,M,M,True
66,F,F,F,F,F,F,True
67,F,F,F,F,F,F,True
68,M,M,M,M,M,M,True
69,M,M,M,M,M,M,True
70,M,M,M,M,M,M,True
71,M,M,M,M,M,M,True
72,M,M,M,M,M,M,True
73,F,F,F,F,F,F,True
74,M,M,M,M,M,M,True
75,M,M,M,M,M,M,True
76,M,M,M,M,M,M,True
77,F,F,F,F,F,F,True
78,F,F,M,F,F,F,False
79,F,F,F,F,F,F,True
80,M,M,M,M,M,M,True
81,M,M,M,M,M,M,True
82,M,M,M,M,M,M,True
83,M,M,M,M,M,M,True
84,F,F,F,F,F,F,True
85,M,M,M,M,M,M,True
86,M,M,M,M,M,M,True
87,M,M,M,M,M,M,True
88,F,F,F,F,F,F,True
89,M,M,M,M,M,M,True
90,M,M,M,M,M,M,True
91,F,F,F,F,F,F,True
92,F,F,F,F,F,F,True
93,F,F,F,F,F,F,True
94,M,M,M,M,M,M,True
95,M,M,M,M,M,M,True
96,M,M,M,M,M,M,True
97,F,F,F,F,F,F,True
98,M,M,M,M,M,M,True
99,M,M,M,M,M,M,True
